start	end	original_text
2.0	11.0	{MUSIC}
11.0	23.0	<i>Speaker 1</i>: So, we're gonna get started in about a minute. But this is a very small tent—it's supposed to be a very intimate workshop. I know you all are playing the back rows just like my students would in the classroom because you're trying to - I don't know - for whatever reason.
23.0	30.0	<i>Speaker 1</i>: I would just encourage people to move up because, again, there's not a lot of us here anyways, and this way you can hear us better, you can hear the music better.
30.0	38.0	<i>Speaker 1</i>: So again, I'm not gonna force you but I do encourage you just to move up the front row, because — like I can see y'all in the back, it doesn't really — you're not hiding from anyone right now. All right thank you.
38.0	99.0	{MUSIC}
99.0	100.0	<i>Speaker 2</i>: Yes, yes, yes, yes. Check— 1, 2.
100.0	120.0	{MUSIC}
120.0	123.479	<i>Speaker 2</i>: Hello, Hello. Good [exaggerated question tone] afternoon?
125.0	129.0	<i>Adriel Lewis</i>: Good noon... Good day, all. How are y'all feelin' today?
129.0	131.0	[audience claps]
131.0	138.0	<i>Adriel Lewis</i>: Alright, it is hella hot. um. My name is Adriel Lewis, I am a curator at the Smithsonian Asian Pacific American Center.
138.0	147.0	<i>Adriel Lewis</i>: Uh, I'm so juiced to be here at the Folklife Festival, sharing some space with you in all this hot, hot humidity.
147.0	156.0	<i>Adriel Lewis</i>: Uh, I'm here with two amazing individuals - Oliver Wang - who is an amazing DJ and amazing music writer.
156.0	164.0	"<i>Adriel Lewis</i>: Um, I kinda came up following his blog ""Soul Sides"", uh, where he digs out all this amazing wax."
164.0	167.0	<i>Adriel Lewis</i>: Uh, awesome soul music, awesome Latin Boogaloo music.
167.0	178.0	<i>Adriel Lewis</i>: And, uh, also recently published a book on Filipino-American turntablisms, which I think probably mentioned in a bit, or now will, now that I've said that.
178.0	193.0	<i>Adriel Lewis</i>: Next to him is DJ Fatrick, uh also uh, from Houston, originally. And then uh, I met him living in the Bay Area. And now he's based in LA. So kinda, spanned up and down California.
193.0	203.0	<i>Adriel Lewis</i>: He is a DJ for Bamboo, who is an MC out here. You can catch him later on today over at the Sensa California Tent at 4:15.
203.0	208.0	<i>Adriel Lewis</i>: Um, and also just an amazing DJ and producer in his own right as well.
208.0	213.0	<i>Adriel Lewis</i>: And so um, we're here today to talk about the history of Asian-American hip-hop,
213.0	221.0	<i>Adriel Lewis</i>: which I think maybe for some of you, might be uh, a concept that's foreign or maybe even paradoxical.
221.0	224.0	<i>Adriel Lewis</i>: And so we'll kind of pick that apart in a little bit.
224.0	229.0	<i>Adriel Lewis</i>: I'm gonna pull out my notes real quick to make sure I give some shout-outs to people who have made it possible.
