start	end	original_text
1.0	23.0	"[[People Speaking]] 
<i>Speaker 1</i>: Okay, good afternoon everyone. Welcome to the Smithsonian Folklife Festival. C'mon in, people in the back. Move up a little bit. We have a treat today. Before we introduce our wonderful panelists, I'd like to tell you a little bit about this year's festival. This year we have circus arts. Has anyone been to the circus yet?"
23.0	131.123	"How was it? Woo-hoo! The circus! It's also the fiftieth anniversary, so there are a number of reunion events from National Endowment for the Arts recipients, and online, there is a wonderful online virtual exhibition of some of the art that has been collected over the last fifty years, so please take a moment to check out the on the line exhibition, which was curated by the wonderful women in the hat. Erin? Erin, wave your hand! She's the curator of the fiftieth online exhibition. The Smithsonian Folklife Festival is co-sponsored by the National Park Service and WAMU and On the Move, which you're on now, is supported by the Smithsonian Latino Center, Asian Pacific -American Center, and the American Anthropological Association. We came together in collaboration with the Anacostia community museum, the National Museum of American history which has a tremendous immigration exhibit. So please check it out it opened just a few days ago. So you're here in On The Move, and On the Move is all about journeys to the United States and within the United States, and as you know the United States is vibrant from the many cultures and peoples and identities that have come to the United States and have been resilient and have evolved into new cultural heritages. So On The Move is all about learning about the many parts of our vibrant culture and also embracing the many people who make up the Untied States. 
<i>Speaker 2</i>:"
136.0	143.0	{SPEAKER name={Unknown Speaker}  Today we are honored to have people from the Muslim Community Center of Silver Spring. Asalamalakim.
143.0	155.0	The Muslim Community Center itself is a wonderful example of unity and diversity. There are people from many, how many countries? [Murmurs]
155.0	167.0	Almost every country represented in the Muslim Community Center. And they have the challenging task of mediating between and embracing the many cultures that come to the Center.
167.0	183.0	Um Usman, OK last one, Sarwar is the president of the Muslim Community Center, and he is going to be the facilitator of of this wonderful group from whom we can learn something about their lives and identities.
183.0	195.0	As you know the way that we break down barriers between people is to listen to their stories and to tell our own stories. So, I encourage you to listen, to participate, and to ask questions.
195.0	215.0	Along with Usman, we have Sabr, who I understand means patience—one with patience. Sanjana, whose name means calm and gentleness. And Nazia, who means pride.
215.0	228.0	"And Aziz, who is a servant of the Almighty and who brings us much strength to this session. So I would like to turn it over to Usman, and please join me in welcoming them. 
<i>Usman</i>:"
228.0	238.0	Thank you everyone. I just, uh, first want to thank Alyssa, Sojan, Olivia and all the organizers for the Smithsonian on the Move and for inviting us.
238.0	241.0	It is a really great honor for us to be here, and it is a pleasure for us to be here.
241.0	252.0	And then quickly I will just talk a little bit about, uh, an intro and what MCC is. So, the Muslim Community Center is one of the older mosques, it is one of the oldest mosques in the Washington D.C. area.
252.0	267.0	It was established as an idea in 1976, and then the physical structures kinda came on throughout the years. Primarily, it was, the idea was started as an education center for youth, for weekend school learning.
267.0	278.0	A lot of immigrants came here, migrated from many different nations, and they wanted to make sure that they passed along some of the teachings, religiously and also culturally.
278.0	286.0	So, that is how the idea of MCC came about. But over the years, it is has evolved into many different activities.
286.0	292.0	We do have a weekend school still. It is over 500 students that come there on a Saturday and Sunday.
292.0	295.0	We also have a very strong interfaith presence.
295.0	309.0	Brother Sabr is one of the past presidents, and also has been a pioneer in starting the interfaith culture and also our partnerships around in the area with the interfaith counsel and other groups.
309.0	316.0	So, we are very involved in that. We have a seniors committee, which takes care of the senior's issues.
316.0	321.0	We have a youth group of which Nazia and Aziz were very integral and are still integral in that.
321.0	327.0	We also have a young adults and professionals group with Sandana as the head of that.
327.0	341.0	And we also have a medical clinic, which was established in 2003. It was a all-volunteer, free medical clinic. We are strongly in belief of healthcare for everyone regardless of religion, faith, or gender.
341.0	349.0	And, um, we started out with a very modest clinic of I would say 50 patients the first year in 2003.
349.0	357.0	And, just last year we calculated about 15,000 patient encounters, which is almost about five to six thousand patients.
357.0	364.0	So it's grown tremendously. It is one of [[??]] County primary care coalition clinics. We don't deny anyone.
364.0	371.0	If you have insurance, welcome. If you don't have insurance, please feel free. You will, you will be seen by anyone.
371.0	380.0	It is a full, almost a full facility. It has dental, gynecology, we do labs, lab work, primary care physician, you name it.
380.0	392.0	And it's on our property. So that's just a little bit about MCC. And what I want to do is kind of ask, ask our panelists a few questions.
392.0	394.0	We will start with one question and see how far it gets.
394.0	399.0	It is a loaded question, so I am pretty sure they will have loaded answers for it.
399.0	408.0	And just as a preface to that, with the Muslim community, you know we kind of internally, and I would say loosely, define it within about 3 phases now.
408.0	421.0	The first one is, post, I'm sorry pre-911. Kind of what the Muslim community was at that time. 911 was a very defining moment you know for our country and also for the Muslim community in America in particular.
421.0	436.0	But the tragedy that happened and also the responses to that. Then there's also kind of this generation that I would say probably like, Sabr will talk about the pre-911, and he was the President when 911 happened of MCC.
436.0	445.0	So Jon and I would say are probably more we grew up like I would say maybe from 911 up until like 2010 and that generation.
445.0	453.0	So we are like the 911 generation. We had to grow up in that you know culture and and whatever came out of it, right.
453.0	462.0	But then these two it's very interesting when I started working with the youth group, they've kinda far removed from it. It's the first generation I kinda met that it's history to them, right.
462.0	468.0	They didn't really live through it. So their perspective in terms of what they go through is really very contemporary.
468.0	478.0	And I think you'll find that you know that their perspectives are very interesting. So with that introduction I will ask them one by one.
478.0	483.0	You can answer. Obviously, keep it as brief as possible but don't shortcut yourself.
483.0	492.987	The first question. And the first question is: can you share your personal experience on developing your American Muslim identity? And what does it mean to you to be an American Muslim?
498.0	556.0	"<i>Speaker 1</i>: I am on 
<i>Speaker 2</i>: lets get close to the mic 
<i>Speaker 1</i>: [[?]] Alicia gave us these cards she gave the hanging strings to the young people then gave hanging string to the old people so I have to hold it in hand [[?]]. I came to this country in 1964 from Pakistan. I had to go to graduates school at University of Maryland, I had graduated from university of [[?]] university of Maryland good, I had graduated from university of [[?]] in Pakistan with a masters degree in mathematics, I was 24 years old at that time and Pakistan was 17 years old at that time. Im older than Pakistan {crowd""} (laughter)"
556.0	715.315	<i>Speaker 1</i>: I came here to go to graduates school just like many other Pakistani's came here to graduates schools because Pakistan had not yet established the higher learning institution beyond masters degree. They do now, Pakistan governments had a very large expense and a large number of us to come here and to many other countries to get higher education and go back and serve the country, we did not come here as immigrants, we did not come here to settle, We did not fit the Statue of Liberty slogan give me your tired your poor your oppressed yearning to breath free. We had been under colonial rule for long time but we had thrown out the colonial rulers about 17 years before I came here so we were free, and we were all a part of the middle and upper class families of Pakistan so we knew what to do. When we came here we wanted to go back, but what happened was some did and some did not and their was a reason for that. Pakistan had been under colonial rule for a very long time and the colonial rulers had established an oppressed oppressive frustratingly suffocating system of government to control the population. During that time all the top jobs were held by the foreigners for the middle and low level jobs they trained the locals they trained them in the same system to oppress and control the population, when the foreigners finally left, those who were trained by their masters for lower and middle level jobs became the rulers they continued the same oppressive and suffocating system. When we came her we discovered something, theirs freedom and we can breath free we can can claim our dignity and now we have to decide between the love of a country and the freedom
717.0	723.0	<i>Sabir Rahman</i>: and to complicate the situation further, the U.S government and the American people
723.0	728.0	<i>Sabir Rahman</i>: and the American employers wanted us to stay here.
728.0	735.0	<i>Sabir Rahman</i>: Employers were after us with very good jobs because we were highly educated.
735.0	741.0	<i>Sabir Rahman</i>: So the struggle between love of country and the lure of freedom --
741.0	746.0	<i>Sabir Rahman</i>: Some got taken by the love of the country; they went back.
746.0	750.0	<i>Sabir Rahman</i>: Some got taken by the lure of freedom; they stayed here.
750.0	760.0	<i>Sabir Rahman</i>: And we became citizens, made good life of our self; during '70s, '80s, and '90s, we had no problems.
760.0	769.0	<i>Sabir Rahman</i>: Muslims and Pakistani were well-respected in this country, well-regarded, and we were well-adjusted in the society.
769.0	778.0	<i>Sabir Rahman</i>: Then came 9/11, which is what Usman is talking about, and it turned everything upside-down.
778.0	786.0	<i>Sabir Rahman</i>: However it also created a unique situation and an opportunity.
786.0	789.0	<i>Sabir Rahman</i>: A lot of people turned against us,
789.0	793.0	<i>Sabir Rahman</i>: started saying horrible things about us,
793.0	798.0	<i>Sabir Rahman</i>: but then a large number of people rose to support us
798.0	802.0	<i>Sabir Rahman</i>: and it created the opportunity.
802.0	807.0	"<i>Sabir Rahman</i>: And although we say, ""Badnaam honge to kya naam na hoga."""
807.0	815.0	"<i>Sabir Rahman</i>: Roughly translated, it means, ""Notoriety also is a form of recognition."""
815.0	825.0	"<i>Sabir Rahman</i>: When people started hating us and some came to... to support, they actually reach out to us as, ""We are with you."""
825.0	830.0	<i>Sabir Rahman</i>: That gave us an opportunity to get to know a lot of people,
830.0	835.0	<i>Sabir Rahman</i>: and when they got to know us, they found out we were not all that bad.
835.0	839.0	<i>Sabir Rahman</i>: And we are making a lot of friends, including all of you.
839.0	840.855	<i>Sabir Rahman</i>: We are going to be all right.
843.0	849.0	[Speaker 1]: Thank you Saber. Sanjana:
849.0	853.0	[Speaker 2]: Alright hello everyone. Lemme just get this a little closer. Alright.
853.0	866.0	So unsurprisingly as you may know was mentioned 9/11 was a significant event in the development of the Muslim-American community and similarly it had a very significant impact on our individual identity development.
866.0	871.0	While I was aware that I was Muslim growing up, that identity was reinforced after 9/11.
871.0	884.0	Up until then, most people saw my ethnicity, which was perceived to be as Indian, although I was Bengali as my primary identifier, and then when I was in seventh grade 9/11 happened and suddenly there was a shift in how I was perceived.
884.0	893.0	"This hijab which I chose to put on when I was ten no longer was just an expression of my worship, but it became a statement and a flag that screamed ""I am Muslim."""
893.0	904.0	So being 12, my religion, while it was important, it wasn't something that I had really engaged in because I was twelve, but now I was asked to speak for this entire group.
904.0	913.0	"So, 9/11 for me really catalyzed the development of my Muslim identity and it also made me so much more aware of my own ""Muslimness."""
913.0	917.0	On the one hand, it led to a lot of discomfort.
917.0	920.0	You know, I got called a terrorist. I got asked if I had a bomb under my scarf.
920.0	926.0	I probably got a lot more weird and angry looks then the average American got, especially when they were twelve or thirteen.
926.0	930.0	But on the other hand, it also cemented for me the importance of a psalm in my life.
930.0	944.0	I knew that whenever people saw me, the first thing that they would think is a Muslim woman, so I felt the need to rise to that occasion, and to be the best version of myself because I knew that I had to actively fight the Muslim stereotypes that was inundating society.
944.0	949.0	So it also forced me to learn more about Islam than I probably would have at twelve,
949.0	952.0	And it really required me to navigate that intersection my identity.
952.0	959.0	"So in terms of the question ""what it means to be an American-Muslim?"" I have a really hard time answering that question because the term ""American-Muslim,"""
959.0	963.0	it really just lumps together two things that I am: it's an American and a Muslim.
963.0	968.0	America is the only home that I've ever lived in. I was born and raised in Maryland.
968.0	981.0	I grew up trading Lisa Frank stickers, going to Sunday school, obsessing over 90's boy bands, learning the Arabic alphabet, you know, catching fireflies with my friends in the summer time but at the same time, learning about the stories of the prophets.
981.0	989.0	There was no end point and middle point. All these activities bled together. There was no Muslim activity and American activity. This was simply who I am.
989.0	999.0	So really to me, you know, I am an American who just happens to be a Muslim. They aren't mutually exclusive. American-Muslim is simply my existence.
999.0	1006.0	While there is so much emphasis put on one over the other, it's really just two parts and it's intersection of who I am.
1006.0	1009.0	Those are two different layers of my identity.
1009.0	1013.0	They're just combined together.
1013.0	1018.0	And that's kind of, a little bit, you know, my response for that first question.
1018.0	1019.0	[Crowd applause]
1019.0	1021.0	[Speaker 1]: Alright, Naziyah.
1021.0	1031.0	[Speaker 3]: Alright. Hello everyone, I'm Naziyah. So post 9/11. Honestly, I learned about 9/11 when I was in fourth grade. I didn't even know it happened.
1031.0	1039.0	"I was actually shocked when it happened. Like I heard about all these things like oh like this happened, there was this, and I'm just like ""whoa this happened."""
1039.0	1050.0	"I was two and a half when 9/11 happened. So i-i like when I found out about it was like, ""oh okay it's just another part of history. Whatever"" and moved on and played with my toys."
1050.0	1061.0	But this question you know, what it means to be an American-Muslim, to me it just means being an unapologetic Muslim-American who just lives the American life. You know?
1061.0	1072.0	For me personally, you know, it's a constant battle for me is just finding out what values I believe in as an American, and what values I believe in as a Muslim. You know?
1072.0	1084.0	And that's just something I'm constantly struggling with, but as a Muslim American, you know, when you, I think being an American in general is just being who you are and just being who you want to be, regardless of what anybody says. You know?
1084.0	1093.0	And that's what I love about America and that's what being an American is, just being proud of who you are and just being you, you know?
