start	end	original_text
15.0	17.0	[[Background noise]]
17.0	24.0	{Ranald} Hi folks, I'm Ranald, nice to meet you, I'll be your interpreter this afternoon and I'll just be hanging out over here, so.
24.0	33.0	[[Background noise]]
33.0	38.0	{Ranald} As you can probably guess, let's talk a little slowly, or give me about a sentence or two, and then um--
38.0	39.0	[[Background noise]]
39.0	44.0	{Unknown Speaker 1} [[inaudible]] Seems familiar with your work. Seen lots of videos.
44.0	47.0	{Ranald} Seen lots of videos, hope to be there in person soon.
47.0	49.0	{Ranald} Mh-hmm.
49.0	53.0	[[Background noise]]
53.0	54.0	{Unknown Speaker 1} Perdon? [[Cross talk]] {Ranald} Do you need another chair?
54.0	55.0	{Unknown Speaker 1} No, no esta bien.
55.0	56.0	{Ranald} You sure? {Unknown Speaker 1} Si--
56.0	59.0	{Unknown Speaker 1} Si, seguro, yo puedo estar parado [[inaudible]]
59.0	62.0	[[Background noise]]
62.0	64.0	{Unknown Speaker} You can start the introductions and she can keep him talking.
64.0	67.0	{Ranald} Okay, great, so I can go ahead and start the intros?
67.0	68.0	{Ranald} Yeah, yeah
68.0	77.0	[[Background noise]]
77.0	84.0	{Ranald} Welcome everybody to the Sounds of California Section of the Smithsonian Folklife Festival.
84.0	86.0	[[Background noise]]
86.0	88.0	{Ranald} We'll start in just a minute.
88.0	92.0	[[Background noise]]
92.0	111.0	{Ranald} Hey folks, welcome to the Sounds of California Section of the Smithsonian Folklife Festival. We are here in the studio, here for another session of Linea Abierta Program with host Chelis Lopez. Linea Abierta is a program on Radio Bilingue, the premier Latino public radio network in the United States.
111.0	121.0	{Ranald} And today we are gonna be watching a production of a radio session; a conversation between Chelis and the members of FandangObon.
121.0	128.0	{Chelis Lopez} Bien, desde el paseo nacional de la ciudad de Washington, Radio Bilingüe presenta una cobertura especial de Sonidos de California.
128.0	132.0	{Chelis Lopez} Un programa especial que forma parte del festival del Folklore del Smithsonian este ano.
132.0	142.0	{Chelis Lopez} Esta producción es una colaboración con la alianza para las artes tradicionales de California y el Centro para el Folklore y la Herencia Cultural de el Smithsonian. Yo soy Chelis Lopez, bienvenidos.
142.0	147.0	{Chelis Lopez} Durante la próxima hora conversaremos con importantes figuras del festival.
147.0	155.0	{Chelis Lopez} Esta ano 2016 el festival ofrece diversas culturas unidas por la inmigración, por el movimiento y por la búsqueda del la pertenencia y la identidad.
155.0	161.0	{Chelis Lopez} Sonidos de California y Basque Innovación mediante de la Cultura son los dos programas del festival.
161.0	171.0	{Chelis Lopez} Me acompana integrantes de FandangObon. Un muy particular proyecto artístico y colaborativo entre artistas Chicanos, Japoneses, y Mexicanos.
171.0	179.0	{Chelis Lopez} Que mezclan la música, la danza, las tradiciones de Son Jarocho de Veracruz, México y la ceremonia ritual de origen Budista Japonés.
179.0	184.0	{Chelis Lopez} Obon en estrecha colaboración con el grupo Quetzal. Bienvenidos.
184.0	191.0	{Chelis Lopez} Esta aqui a mi lado Nobuko Miyamoto, que ella es la directora, cantante y bailadora. Welcome.
