start	end	original_text
10.0	26.0	"<i>Speaker 1</i>: Okay welcome everyone to the 2016 Folklife Festival! Welcome to the ""On the Move"" tent, where we have sessions every hour on the hour. And it's our privilege today to welcome Debbie Wong and Great Lee."
26.0	34.0	[SILENCE]
34.0	40.0	<i>Speaker 2</i>: Good morning everyone-- [[aside]] now it is-- Great to see all of you; you are the hardcore.
40.0	47.0	<i>Speaker 2</i>: You know it's a gray day, right? It's a gray day. It's still fairly early-- really glad you're here.
47.0	52.0	<i>Speaker 2</i>: I've been at the festival for a few days now, and I can say that this space,
52.0	56.0	<i>Speaker 2</i>: this tent as it were, there have been some amazing conversations going on in here.
56.0	62.0	"<i>Speaker 2</i>: And this is the ""On the Move"" space, where migration and movement is being discussed."
62.0	71.0	<i>Speaker 2</i>: And in a way, this tent is the connector between the two big themes of the the festival, right? The sounds of California and Basque identity.
71.0	80.0	<i>Speaker 2</i>: So, we are going to be talking today about Japanese American identity, which is the not the same thing as Japanese identity.
80.0	89.0	<i>Speaker 2</i>: It has to do with immigration and with some, you know, spectacularly violent moments in American history, as well.
89.0	92.0	<i>Speaker 2</i>: But we'll come to that down the line in just a bit.
92.0	100.0	<i>Speaker 2</i>: Now, listen. I think it's very important in this space, in particular, for us to talk with you, as well.
100.0	113.0	<i>Speaker 2</i>: So if you have questions or responses as we go along, I say raise your hand and speak up. I think that would be great, okay?
113.0	122.0	<i>Speaker 2</i>: The last few days of spending time with my friends, and my colleagues and my peers here, has been one of my great life experiences.
122.0	131.0	<i>Speaker 2</i>: Let me very very quickly introduce you to the panelists. Elaine Fukumoto, on the end, who is a Taiko player and a dance teacher.
131.0	136.77	<i>Speaker 2</i>: And please comment either 1:15 or 4:15 to hear us do our thing, which is a project called-
142.0	154.0	<i>Speaker 2</i>: and Elaine is leading the dance in that. Next to her is Nobuko Miyamoto, legendary singer from the Asian American movement years of the 70s especially, but she didn't stop after the 1970s.
154.0	161.0	<i>Speaker 2</i>: And she is the heart and soul of our project, the creator of the FandangObon Project.
161.0	172.0	<i>Speaker 2</i>: Next to her, George Abe. Extraordinary musician; well-known in the Japanese community of southern California, and frankly far beyond for his work as a musician,
172.0	180.0	<i>Speaker 2</i>: and the original- One of the originating Taiko ensembles in the United States, Kinnara Taiko, out of Senshin Buddhist Temple.
180.0	190.0	<i>Speaker 2</i>: He is also known for his drumming in Obon ceremonies or festivals in the summertime. He is a bon taiko player in short.
190.0	194.0	"<i>Speaker 2</i>: Next to him is Nancy Sekizawa - ""Atomic Nancy""."
