start	end	original_text
0.0	3.0	[Music in the background]
3.0	5.0	<i>Speaker 1</i>: Gonna stall- stall for a little bit.
5.0	7.0	<i>Unknown</i>: Just keep talking.
7.0	17.0	<i>Speaker 1</i>: Hello folks, how is everyone doing? Today we're celebrating the 50th anniversary of the Smithsonian Folklife festival here on the mall. Fifty years of Folklife Festival.
17.0	23.0	<i>Speaker 1</i>: Keep you in mind, we have circus arts, you can hear that [?calliope], that's going on for a little while.
23.0	31.0	<i>Speaker 1</i>: We'll have on the move -- personal meets the political, with policy considerations and personal narratives coming up really soon.
31.0	40.0	<i>Speaker 1</i>: So, stay hydrated, hang out with folks, we'll be here soon.
40.0	47.0	<i>Speaker 1</i>: Feel free to move up -- we have a lot of spaces. Feel free to move up to the next section, please.
47.0	70.0	[Music plays]
70.0	94.0	<i>Speaker 1</i>: Yeah? Have a seat. Come on up, come move forward. It's 4th of July, it's hot, but you know. You keep your mind cool, then you can weather through it.
94.0	98.0	<i>Speaker 1</i>: So uh, where is everyone from today? [laughs]
98.0	114.0	[Music continues]
114.0	121.0	<i>Speaker 1</i>: If you folks haven't already visited the art and industries building, it's just right across the mall, next to the castle.
121.0	131.0	<i>Speaker 1</i>: There's a marketplace there, you can buy all kinds of incredible musical gifts, books, artifacts, textiles, jewelry -- all kinds of great stuff there.
131.0	136.0	<i>Speaker 1</i>: Um, a lot of it is also featured by the heritage fellows that have been performing with us and been featured.
136.0	140.0	<i>Speaker 1</i>: So, make sure you make your way over to the marketplace today.
140.0	155.0	<i>Speaker 1</i>: Yeah, I like this music. That's good, keep that going, yeah.
155.0	170.0	[Music continues]
170.0	178.0	<i>Perla Guerrero</i>: Good afternoon, can everyone hear me? Hello! [Laughs] Uh, I am Perla Guerrero.
178.0	184.0	<i>Perla Guerrero</i>: I am assistant professor of American Studies and Latino Studies at the University of Maryland at College Park.
184.0	195.0	"<i>Perla Guerrero</i>: and I am a scholar of race, labor, and migration, so it's my pleasure to be here to facilitate this panel discussion, um, ""Intersection of Personal Stories and Immigration Policy."""
195.0	211.0	<i>Perla Guerrero</i>: So, I'm going to let everyone introduce themselves, but the idea behind this panel is to get a little bit more information about immigration, displacement, movement, something beyond the typical, kind of expected story of looking for a better life,
211.0	217.0	<i>Perla Guerrero</i>: because policy is very important in defining who can enter the country,
217.0	221.0	<i>Perla Guerrero</i>: who can not, who can stand in a so-called line,
221.0	224.0	"<i>Perla Guerrero</i>: who can quote-unquote ""do it the right way."""
224.0	234.0	<i>Perla Guerrero</i>: Um, a quick little bit of information is just that there are usually numerical limits on countries of origin.
234.0	245.0	<i>Perla Guerrero</i>: And, there are different numbers for different countries, there are different considerations, depending on if there's an environmental disaster if there's a war
245.0	258.0	<i>Perla Guerrero</i>: the US, the United States, position on a war, determines whether people being displaced by war are actually recognized as refugees or not.
258.0	263.0	<i>Perla Guerrero</i>: In this area, some of you may know that there are a lot of Center American Americans,
263.0	269.0	<i>Perla Guerrero</i>: um, that were displaced due to civil wars in El Salvador, Nicaragua, in Guatemala,
269.0	277.0	<i>Perla Guerrero</i>: but many of them were not ever recognized as refugees, meaning that they had to enter as undocumented immigrants,
277.0	289.0	<i>Perla Guerrero</i>: and so they have US citizen children, em,um, but they're divided along legal status and documented citizen.
289.0	297.0	<i>Perla Guerrero</i>: Right, that's because the US didn't recognize a lot of the civil wars and so thus didn't assign them a category of refugees.
297.0	307.0	<i>Perla Guerrero</i>: So I'm gonna let everyone introduce themselves and we're gonna start with Brenda Pérez Amador and then Kumera Genet and then Ted Gong.
307.0	316.0	<i>Perla Guerrero</i>: And I've asked them to share a little bit about themselves, who they are and a little bit about their family's migration story.
316.0	326.0	<i>Brenda Perez</i>: Thank you! So thank you everybody for being here. My name is Brenda Perez. I'm originally from Mexico, but I've been in D.C. for pretty much half of my life.
326.0	335.0	<i>Brenda Pérez</i>: So I'm kind of like a Mexican Washingtonian. And right now I'm studying at the University of the District of Columbia.
335.0	341.0	<i>Brenda Pérez</i>: I'm doing civil engineering as my major. And I'm also a youth activist here in D.C.
341.0	354.0	<i>Brenda Pérez</i>: I do campaigns for language access to give quality education for English language learners in the D.C. public system and I also do a lot of campaigning towards immigration reform.
354.0	362.0	<i>Brenda Pérez</i>: And the main reason why I came to the United States was because there were a lot of family issues.
362.0	371.0	<i>Brenda Pérez</i>: Uh back in Mexico, the- we're still right now the police is very corrupt, and the government is really corrupt as well.
371.0	384.0	<i>Brenda Pérez</i>: So, my dad worked for the police department and he started to become so corrupt that that kind of mentality that he had in the workplace started to follow into the home.
384.0	391.0	<i>Brenda Pérez</i>: So he started to be very abusive, uh not very supportive financially or emotionally.
391.0	399.0	"<i>Brenda Pérez</i>: So my mom, being the strong woman that she is, she said, ""I can't live with you anymore. I have to take my children with me."""
399.0	410.0	<i>Brenda Pérez</i>: So we lived with my grandmother, uh for a couple of years until my mom faced another challenge where she couldn't find work.
410.0	417.0	<i>Brenda Pérez</i>: And ten years ago, or eleven years ago, it was really hard for women to find work in Mexico.
417.0	421.0	<i>Brenda Pérez</i>: Especially since she didn't have a college education and she was a single mother.
421.0	431.0	"<i>Brenda Pérez</i>: It's very typical back in our home countries, when you go to an interview they ask you, ""Are you married?"" or ""How many children do you have?"""
431.0	439.0	<i>Brenda Pérez</i>: because they kind of wanna lay your intellectuality based on your husband or something like that.
