start	end	original_text
1.0	6.0	<i>Speaker 1</i>: Hello, hello everyone we're getting set up for our next session in Teahouse Commons.
6.0	10.0	<i>Speaker 1</i>: You are in the China Program of the 2014 Smithsonian Folklife Festival.
10.0	24.0	<i>Speaker 1</i>: This program is presented through a collaboration by the Center for Folklife and Cultural Heritage at the Smithsonian with the China International Cultural Association, working with the China Arts and Entertainment Group in Beijing.
24.0	30.0	<i>Speaker 1</i>: Thanks a lot for being here. Today I don't know if you've noticed but we're doing programs slightly different today.
30.0	37.0	<i>Speaker 1</i>: The China Festival program actually brought over 120 artists and presenters from China to participate in this program.
37.0	41.0	"<i>Speaker 1</i>: But today we are doing something a little bit different, we're calling it ""Diaspora Day""."
41.0	55.0	<i>Speaker 1</i>: There are about 4 million people of Chinese ancestry in the United States, and today we're celebrating the way in which when people move, how they transform and adapt culture, community, and traditions to the new places where they end up.
55.0	65.0	<i>Speaker 1</i>: So today this session that we're going into right now is one of the programs that is apart of the Diaspora Day programming, which is also co-produced with the Smithsonian Asian-Pacific American Center.
65.0	81.0	<i>Speaker 1</i>: So we have um today's session right now that that we're getting ready to start is the 1882 Foundation Talk Story on the Mall, and we are going to be talking about Chinatown today, Chinatown Today is the subject of this session.
81.0	90.0	<i>Speaker 1</i>: And I'm going to go ahead and introduce to you Stan Liu, who is going to do the presenting and moderating of this session with our experts here today, our local experts.
90.0	96.0	<i>Speaker 1</i>: I want to first introduce you to Stan so that you know a little bit about him and a little bit about the 1882 Foundation.
96.0	97.0	[SILENCE]
97.0	108.0	<i>Speaker 1</i>: So Stan Liu, sitting right here to my left, is a retired civil engineer.  He used to work for the Federal Aviation Administration, and he went to China for the first time in 2003.
108.0	119.0	<i>Speaker 1</i>: 2003, he spent two years there teaching Chinese at a university, and when he came back to the US he became very interested and committed with working with Chinese American organizations.
119.0	135.0	<i>Speaker 1</i>: Stan is himself a native of Greenville, Mississippi, which you will soon hear very clearly when he takes the mic, um, but Stan has been very involved in a lot of organizations including the organization of Chinese Americans, as well as the 1882 foundation.
135.0	149.0	<i>Speaker 1</i>: and for those of you who don't know, the 1882 Foundation is a non-partisan, non-profit national network of people who are working to educate lawmakers and the public about the historical impact of Chinese exclusion laws,
149.0	161.0	<i>Speaker 1</i>: and 1882 specifically refers to the date of the first of these exclusion laws which were designed to basically keep Chinese immigrants out of the United States and prevent those who were here already from ever attaining citizenship.
161.0	169.0	<i>Speaker 1</i>: So they have been doing really wonderful work around the country um and I'm now going to turn it over to Stan to get this session going and introduce the rest of the panel.
169.0	170.0	<i>Speaker 2</i>: ok, thank you Sojin,
170.0	171.0	<i>Speaker 2</i>: hey!
171.0	183.0	<i>Speaker 2</i>: it's a pleasure for us to be here on the Mall doing our Talk Story on the Mall and uh we're-and this is Diaspora Day, like Sojin was saying here, and we're gonna, I'm gonna introduce everybody here
183.0	193.0	<i>Speaker 2</i>: and we're gonna have a conversation and you'll get to know who we are 'cause I don't want to spend a whole lot of time going over credentials that really don't matter.
193.0	195.0	<i>Speaker 2</i>: You know, what we say is what's gonna be important.
195.0	196.0	"<i>Speaker 2</i>: So 
[SILENCE]"
196.0	204.0	<i>Speaker 2</i>: So this is Diaspora Day and you know, and you know, the epitome of diasporas in the United States of course are Chinatowns,
204.0	210.0	<i>Speaker 2</i>: and that's what we think about when when we talk about displaced Chinese away from China in the United States,
210.0	213.0	<i>Speaker 2</i>: Chinatowns are the first things that come to my mind,
213.0	221.0	and so when we put out our flyer, you know we said that-that, uhh, we're gonna talk about Chinatown today,
221.0	224.0	and uh, but this is not gonna to be a travelogue, by any means.
224.0	234.0	<i>Speaker 2</i>: we're gonna talk about what Chinatown means to us, and uh, because like we said in the flyer, Chinatown has different meanings to different people,
